ID,Name,InChI,InChIKey,SMILES,Solubility,SD,Ocurrences,Group,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT,Cleaned_SMILES
A-71,"tetrasodium 7-[(E)-2-[2-(carbamoylamino)-4-{[4-chloro-6-({3-[2-(sulfonatooxy)ethanesulfonyl]phenyl}amino)-1,3,5-triazin-2-yl]amino}phenyl]diazen-1-yl]naphthalene-1,3,6-trisulfonate","InChI=1S/C28H24ClN9O16S5.4Na/c29-25-34-27(31-15-2-1-3-17(10-15)55(40,41)7-6-54-59(51,52)53)36-28(35-25)32-16-4-5-20(21(11-16)33-26(30)39)37-38-22-13-19-14(9-24(22)58(48,49)50)8-18(56(42,43)44)12-23(19)57(45,46)47;;;;/h1-5,8-13H,6-7H2,(H3,30,33,39)(H,42,43,44)(H,45,46,47)(H,48,49,50)(H,51,52,53)(H2,31,32,34,35,36);;;;/q;4*+1/p-4",UIEBGVDTKLYGTN-UHFFFAOYSA-J,[Na+].[Na+].[Na+].[Na+].NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(c3)[S](=O)(=O)CCO[S]([O-])(=O)=O)n2)ccc1N=Nc4cc5c(cc(cc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc4[S]([O-])(=O)=O,-0.426136485,0.0,1,G1,1026.263,-9.9498,197.2081,63,23,4,35,15,314,5,0,0,5,414.74,451.055254,4.96e-06,3157.93203,
A-72,"disodium 7-{[4-chloro-6-(dodecylamino)-1,3,5-triazin-2-yl]amino}-4-hydroxy-3-(2-{4-[2-(4-sulfonatophenyl)diazen-1-yl]phenyl}diazen-1-yl)naphthalene-2-sulfonate","InChI=1S/C37H42ClN9O7S2.2Na/c1-2-3-4-5-6-7-8-9-10-11-22-39-36-41-35(38)42-37(43-36)40-29-18-21-31-25(23-29)24-32(56(52,53)54)33(34(31)48)47-46-27-14-12-26(13-15-27)44-45-28-16-19-30(20-17-28)55(49,50)51;;/h12-21,23-24,48H,2-11,22H2,1H3,(H,49,50,51)(H,52,53,54)(H2,39,40,41,42,43);;/q;2*+1/p-2",VDKPMRJPMMEELL-UHFFFAOYSA-L,[Na+].[Na+].CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(O)c(N=Nc4ccc(cc4)N=Nc5ccc(cc5)[S]([O-])(=O)=O)c(cc3c2)[S]([O-])(=O)=O)n1,-3.358911212,0.0,1,G1,868.35,4.1072,211.2286,58,16,3,21,20,296,5,0,0,5,246.8,386.4974509,4.5e-06,2411.468973,
A-76,pentacalcium hydroxide triphosphate,"InChI=1S/5Ca.3H3O4P.H2O/c;;;;;3*1-5(2,3)4;/h;;;;;3*(H3,1,2,3,4);1H2/q5*+2;;;;/p-10",XYJRXVWERLGGKC-UHFFFAOYSA-D,[OH-].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,-4.141900896,1.043888311,2,G2,502.307,-10.5546,53.5253,21,13,0,21,0,104,0,0,0,0,288.75,268.2425004,-1.29e-08,213.8389948,
A-77,"6H-dibenzo[c,e][1,2]oxaphosphinine 6-oxide",InChI=1S/C12H8O2P/c13-15-12-8-4-2-6-10(12)9-5-1-3-7-11(9)14-15/h1-8H/q+1,DWSWCPPGLRSPIT-UHFFFAOYSA-N,O=[P+]1Oc2ccccc2c3ccccc13,-1.779623135,0.0,1,G1,215.168,4.3284,61.3265,15,2,0,3,0,72,3,0,0,3,30.21,86.97796987,2.702246345,700.3760069,
A-109,calcium oxosilanebis(olate),InChI=1S/Ca.O3Si/c;1-4(2)3/q+2;-2,OYACROKNLOSFPA-UHFFFAOYSA-N,[Ca++].[O-][Si]([O-])=O,-2.650086994,0.686790331,2,G2,116.161,-3.2584,12.1945,5,3,0,5,0,24,0,0,0,0,63.19,60.52965303,0.0,29.87430298,
A-115,"disodium 5-methyl-2-({4-[(4-methyl-2-sulfonatophenyl)amino]-9,10-dioxo-9,10-dihydroanthracen-1-yl}amino)benzene-1-sulfonate","InChI=1S/C28H22N2O8S2.2Na/c1-15-7-9-19(23(13-15)39(33,34)35)29-21-11-12-22(30-20-10-8-16(2)14-24(20)40(36,37)38)26-25(21)27(31)17-5-3-4-6-18(17)28(26)32;;/h3-14,29-30H,1-2H3,(H,33,34,35)(H,36,37,38);;/q;2*+1/p-2",FPAYXBWMYIMERV-UHFFFAOYSA-L,[Na+].[Na+].Cc1ccc(Nc2ccc(Nc3ccc(C)cc3[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)c(c1)[S]([O-])(=O)=O,-1.427031257,0.0,1,G1,622.588,-1.61776,144.5988,42,10,2,14,6,204,4,0,1,5,172.6,286.5634629,2.42e-06,1836.595334,
A-116,dialuminium(3+) ion dimolybdenum nonaoxidandiide,InChI=1S/2Al.2Mo.9O/q2*+3;;;9*-2,CTVFHFFURJHNAT-UHFFFAOYSA-N,[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Mo].[Mo],-4.229152992,0.0,1,G1,389.835,-1.8358,17.6865,13,0,0,13,0,84,0,0,0,0,256.5,125.2184608,0.0,15.57639132,
A-124,"sodium 1-amino-9,10-dioxo-4-({2,4,6-trimethyl-3-[(phenylformamido)methyl]phenyl}amino)-9,10-dihydroanthracene-2-sulfonate","InChI=1S/C31H27N3O6S.Na/c1-16-13-17(2)28(18(3)22(16)15-33-31(37)19-9-5-4-6-10-19)34-23-14-24(41(38,39)40)27(32)26-25(23)29(35)20-11-7-8-12-21(20)30(26)36;/h4-14,34H,15,32H2,1-3H3,(H,33,37)(H,38,39,40);/q;+1/p-1",OFHDOLUPOLKDSG-UHFFFAOYSA-M,[Na+].Cc1cc(C)c(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)c(C)c1CNC(=O)c5ccccc5,-1.439605121,0.0,1,G1,591.621,1.55116,153.6725,42,8,3,11,6,208,4,0,1,5,158.49,265.1176664,4.05e-06,1889.081184,
A-127,zinc di(benzothiazol-2-yl) disulphide,"InChI=1S/2C7H5NS2.Zn/c2*9-7-8-5-3-1-2-4-6(5)10-7;/h2*1-4H,(H,8,9);/q;;+2/p-2",PGNWIWKMXVDXHP-UHFFFAOYSA-L,[Zn++].[S-]c1sc2ccccc2n1.[S-]c3sc4ccccc4n3,-4.285895804,0.0,1,G1,397.89,4.4017,90.502,21,6,0,7,0,100,4,0,0,4,25.78,153.7711414,1.47e-07,718.0672908,
A-128,2-(2-{[2-(oxiran-2-ylmethoxy)phenyl]methyl}phenoxymethyl)oxirane; 2-(2-{[4-(oxiran-2-ylmethoxy)phenyl]methyl}phenoxymethyl)oxirane; 2-(4-{[4-(oxiran-2-ylmethoxy)phenyl]methyl}phenoxymethyl)oxirane,"InChI=1S/C6H6O.C3H5ClO.CH2O/c7-6-4-2-1-3-5-6;4-1-3-2-5-3;1-2/h1-5,7H;3H,1-2H2;1H2",IRJIVOLJTYKLEH-UHFFFAOYSA-N,Oc1ccccc1.ClCC2CO2.C=O,-4.034756761,0.0,1,G1,216.664,1.8313,55.6878,14,3,1,4,1,78,1,1,1,2,49.83,88.26957004,2.13e-07,224.068537,
A-134,2-(chloromethyl)oxirane; 4-[2-(4-hydroxyphenyl)propan-2-yl]phenol; 2-methylprop-2-enoic acid,"InChI=1S/C15H16O2.C4H6O2.C3H5ClO/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12;1-3(2)4(5)6;4-1-3-2-5-3/h3-10,16-17H,1-2H3;1H2,2H3,(H,5,6);3H,1-2H2",HXMNCTCIJUKTBN-UHFFFAOYSA-N,CC(=C)C(O)=O.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3,-5.229282852,0.0,1,G1,406.906,4.6948,111.2514,28,4,3,6,4,152,2,1,1,3,90.29,170.4151814,2.91e-07,703.019051,
A-143,"hydrogen [4-[[4-(diethylamino)-o-tolyl][4-[ethyl(3-sulphonatobenzyl)amino]phenyl]methylene]cyclohexa-2,5-dien-1-ylidene](ethyl)(3-sulphonatobenzyl)ammonium, sodium salt","InChI=1S/C42H47N3O6S2.Na/c1-6-43(7-2)38-24-25-41(31(5)26-38)42(34-16-20-36(21-17-34)44(8-3)29-32-12-10-14-39(27-32)52(46,47)48)35-18-22-37(23-19-35)45(9-4)30-33-13-11-15-40(28-33)53(49,50)51;/h10-28H,6-9,29-30H2,1-5H3,(H-,46,47,48,49,50,51);/q;+1/p-1",IXNUVCLIRYUKFB-UHFFFAOYSA-M,[Na+].CCN(CC)c1ccc([C+](c2ccc(cc2)N(CC)Cc3cccc(c3)[S]([O-])(=O)=O)c4ccc(cc4)N(CC)Cc5cccc(c5)[S]([O-])(=O)=O)c(C)c1,-0.62297793,0.0,1,G1,775.969,4.72561,210.4314,54,9,0,12,16,278,5,0,0,5,124.12,342.989258,6.5e-06,2098.802645,
A-145,disodium 5-[(E)-2-(5-hydroxy-3-methyl-1-phenyl-1H-pyrazol-4-yl)diazen-1-yl]-2-{4-[(E)-2-(5-hydroxy-3-methyl-1-phenyl-1H-pyrazol-4-yl)diazen-1-yl]-2-sulfonatophenyl}benzene-1-sulfonate,"InChI=1S/C32H26N8O8S2.2Na/c1-19-29(31(41)39(37-19)23-9-5-3-6-10-23)35-33-21-13-15-25(27(17-21)49(43,44)45)26-16-14-22(18-28(26)50(46,47)48)34-36-30-20(2)38-40(32(30)42)24-11-7-4-8-12-24;;/h3-18,29-30H,1-2H3,(H,43,44,45)(H,46,47,48);;/q;2*+1/p-2",ZRYQXQUPWQNYSX-UHFFFAOYSA-L,[Na+].[Na+].CC1=NN(C(=O)C1N=Nc2ccc(c3ccc(cc3[S]([O-])(=O)=O)N=NC4C(=NN(C4=O)c5ccccc5)C)c(c2)[S]([O-])(=O)=O)c6ccccc6,-1.642781181,0.0,1,G1,758.706,-1.0802,178.4864,52,14,0,20,9,254,4,0,2,6,229.18,342.0618159,3.02e-06,2210.600386,
A-147,dioxido-oxosilane; lead(+2) cation,InChI=1S/O3Si.Pb/c1-4(2)3;/q-2;+2,AFPIWWDEGJLLCL-UHFFFAOYSA-N,[Pb++].[O-][Si]([O-])=O,-6.6197116,0.0,1,G1,283.283,-3.2584,12.1945,5,3,0,5,0,26,0,0,0,0,63.19,50.69643661,0.0,29.87430298,
A-150,"disodium 4,4'-[(2,4-dihydroxy-1,3-phenylene)didiazene-2,1-diyl]dinaphthalene-1-sulfonate","InChI=1S/C26H18N4O8S2.2Na/c31-22-12-9-21(29-27-19-10-13-23(39(33,34)35)17-7-3-1-5-15(17)19)26(32)25(22)30-28-20-11-14-24(40(36,37)38)18-8-4-2-6-16(18)20;;/h1-14,27-28H,(H,33,34,35)(H,36,37,38);;/q;2*+1/p-2/b29-21+,30-25+;;",UTIACSXEVKXHPT-XALLQCHJSA-L,[Na+].[Na+].[O-][S](=O)(=O)c1ccc(N\N=C\2C=CC(=O)C(=N/Nc3ccc(c4ccccc34)[S]([O-])(=O)=O)\C2=O)c5ccccc15,-2.603841144,0.0,1,G1,622.548,-4.7392,143.5478,42,12,2,16,6,202,5,0,0,5,197.32,282.1466774,2.42e-06,2288.251258,
A-162,1-[2-[[4-[(2-chloro-4-nitrophenyl)azo]phenyl]ethylamino]ethyl]pyridinium acetate,"InChI=1S/C21H21ClN5O2.C2H4O2/c1-2-26(15-14-25-12-4-3-5-13-25)18-8-6-17(7-9-18)23-24-21-11-10-19(27(28)29)16-20(21)22;1-2(3)4/h3-13,16H,2,14-15H2,1H3;1H3,(H,3,4)/q+1;/p-1",WQIDMVKHMHGZPN-UHFFFAOYSA-M,CCN(CC[n+]1ccccc1)c2ccc(cc2)N=Nc3ccc(cc3Cl)[N+]([O-])=O.CC([O-])=O,-1.521890085,0.0,1,G1,469.929,4.2338,123.9294,33,7,0,10,8,172,3,0,0,3,115.11,196.2893042,8.9e-07,1087.765708,
A-177,"sodium 3-{[9,10-dioxo-4-({2,4,6-trimethyl-3-[(sodiooxy)sulfonyl]phenyl}amino)-9,10-dihydroanthracen-1-yl]amino}-2,4,6-trimethylbenzene-1-sulfonate","InChI=1S/C32H30N2O8S2.2Na/c1-15-13-17(3)31(43(37,38)39)19(5)27(15)33-23-11-12-24(26-25(23)29(35)21-9-7-8-10-22(21)30(26)36)34-28-16(2)14-18(4)32(20(28)6)44(40,41)42;;/h7-14,33-34H,1-6H3,(H,37,38,39)(H,40,41,42);;/q;2*+1/p-2",UHXQPQCJDDSMCB-UHFFFAOYSA-L,[Na+].[Na+].Cc1cc(C)c(c(C)c1Nc2ccc(Nc3c(C)cc(C)c(c3C)[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)[S]([O-])(=O)=O,-1.79226117,0.0,1,G1,678.696,-0.38408,163.5468,46,10,2,14,6,228,4,0,1,5,172.6,312.0232313,2.88e-06,2027.663603,
A-184,{2-hydroxy-3-[(9Z)-octadec-9-enoyloxy]propoxy}boronic acid 2-hydroxy-3-{[hydroxy({2-hydroxy-3-[(9Z)-octadec-9-enoyloxy]propoxy})boranyl]oxy}propyl (9Z)-octadec-9-enoate 3-{[bis({2-hydroxy-3-[(9Z)-octadec-9-enoyloxy]propoxy})boranyl]oxy}-2-hydroxypropyl (9Z)-octadec-9-enoate,"InChI=1S/C63H117BO12.C42H79BO9.C21H41BO6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-61(68)71-52-58(65)55-74-64(75-56-59(66)53-72-62(69)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2)76-57-60(67)54-73-63(70)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3;1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-41(46)49-35-39(44)37-51-43(48)52-38-40(45)36-50-42(47)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)27-18-20(23)19-28-22(25)26/h25-30,58-60,65-67H,4-24,31-57H2,1-3H3;17-20,39-40,44-45,48H,3-16,21-38H2,1-2H3;9-10,20,23,25-26H,2-8,11-19H2,1H3/b28-25-,29-26-,30-27-;19-17-,20-18-;10-9-",VBCPUMZLCRUHTJ-VVUJETCRSA-N,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(O)O.CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(O)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC.CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC,-5.345705158,0.0,1,G1,2216.691,29.64,638.1372,156,27,9,30,120,912,0,0,0,0,395.25,952.4933599,-2.51e-06,2927.060118,
A-219,(3-aminopropyl)[(9Z)-octadec-9-en-1-yl]amine; bis((9Z)-octadec-9-enoic acid),"InChI=1S/C21H44N2.2C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-23-21-18-19-22;2*1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10,23H,2-8,11-22H2,1H3;2*9-10H,2-8,11-17H2,1H3,(H,19,20)/b3*10-9-",VTXWSJAEIWTHCL-DJNDIFCPSA-N,CCCCCCCC\C=C/CCCCCCCCNCCCN.CCCCCCCC\C=C/CCCCCCCC(O)=O.CCCCCCCC\C=C/CCCCCCCC(O)=O,-8.25019206,0.0,1,G1,889.533,18.1793,280.1687,63,4,4,6,49,374,0,0,0,0,112.65,393.9201272,-8.6e-07,883.0930025,
A-224,1-dodecylpyridin-1-ium chloride,"InChI=1S/C17H30N.ClH/c1-2-3-4-5-6-7-8-9-10-12-15-18-16-13-11-14-17-18;/h11,13-14,16-17H,2-10,12,15H2,1H3;1H/q+1;/p-1",GKQHIYSTBXDYNQ-UHFFFAOYSA-M,[Cl-].CCCCCCCCCCCC[n+]1ccccc1,-0.453910537,0.0,1,G1,283.887,1.899,78.481,19,0,0,2,11,110,1,0,0,1,3.88,125.3934212,3.24e-06,273.8503707,
A-228,"disodium 4-[(E)-2-[2,6-dihydroxy-3-(hydroxymethyl)-5-[(E)-2-(4-sulfonatonaphthalen-1-yl)diazen-1-yl]phenyl]diazen-1-yl]naphthalene-1-sulfonate","InChI=1S/C27H20N4O9S2.2Na/c32-14-15-13-22(30-28-20-9-11-23(41(35,36)37)18-7-3-1-5-16(18)20)27(34)25(26(15)33)31-29-21-10-12-24(42(38,39)40)19-8-4-2-6-17(19)21;;/h1-13,28-29,32H,14H2,(H,35,36,37)(H,38,39,40);;/q;2*+1/p-2/b30-22+,31-25+;;",TUQJHVRCALPCHU-CRVUNLCOSA-L,[Na+].[Na+].OCC1=CC(=N/Nc2ccc(c3ccccc23)[S]([O-])(=O)=O)\C(=O)/C(=N/Nc4ccc(c5ccccc45)[S]([O-])(=O)=O)C1=O,-0.817164744,0.0,1,G1,652.574,-5.2469,149.4706,44,13,3,17,7,214,5,0,0,5,217.55,293.3058533,2.64e-06,2360.006031,
A-230,calcium magnesium(2+) ion dioxidandiide,InChI=1S/Ca.Mg.2O/q2*+2;2*-2,YLUIKWVQCKSMCF-UHFFFAOYSA-N,[O--].[O--].[Mg++].[Ca++],-1.988356233,1.862057608,3,G4,96.381,-0.9992,12.881,4,0,0,4,0,16,0,0,0,0,57.0,70.71564842,0.0,6.0,
A-232,disodium 3-[(E)-2-{4-[(E)-2-(7-amino-1-hydroxy-3-sulfonatonaphthalen-2-yl)diazen-1-yl]naphthalen-1-yl}diazen-1-yl]-2-hydroxybenzoate,"InChI=1S/C27H19N5O7S.2Na/c28-15-9-8-14-12-23(40(37,38)39)24(26(34)19(14)13-15)32-30-21-11-10-20(16-4-1-2-5-17(16)21)29-31-22-7-3-6-18(25(22)33)27(35)36;;/h1-13,33-34H,28H2,(H,35,36)(H,37,38,39);;/q;2*+1/p-2",QENJECLVTWIZIG-UHFFFAOYSA-L,[Na+].[Na+].Nc1ccc2cc(c(N=Nc3ccc(N=Nc4cccc(C([O-])=O)c4O)c5ccccc35)c(O)c2c1)[S]([O-])(=O)=O,-2.786820452,0.0,1,G1,601.508,-0.9072,142.7257,42,12,3,15,6,200,5,0,0,5,213.25,282.5069677,2.42e-06,2018.572524,
A-238,magnesium,InChI=1S/Mg/q+2,JLVVSXFLKOJNIY-UHFFFAOYSA-N,[Mg++],-2.402069338,0.552078934,3,G4,24.305,-0.3808,5.754,1,0,0,1,0,0,0,0,0,0,0.0,23.63837357,0.0,0.0,
A-251,lead; sulfuric acid; hydrate,"InChI=1S/H2O4S.H2O.Pb/c1-5(2,3)4;;/h(H2,1,2,3,4);1H2;",AWTSMFNITNKUQL-UHFFFAOYSA-N,O.[Pb].O[S](O)(=O)=O,-4.226296416,0.0,1,G1,323.294,-1.8583,23.5452,7,2,2,7,0,44,0,0,0,0,106.1,60.76948755,-8e-08,91.24856185,
A-254,calcium dihydroxide,InChI=1S/Ca.2H2O/h;2*1H2/q+2;;/p-2,AXCZMVOFGPJBDE-UHFFFAOYSA-L,[OH-].[OH-].[Ca++],-1.910729926,0.672750255,7,G4,74.092,-0.7344,9.6256,3,2,0,3,0,16,0,0,0,0,60.0,48.44575261,0.0,2.754887502,
A-255,silicon(+4) cation tetraphosphate,"InChI=1S/4H3O4P.3Si/c4*1-5(2,3)4;;;/h4*(H3,1,2,3,4);;;/q;;;;3*+4/p-12",XLUBVTJUEUUZMR-UHFFFAOYSA-B,[Si+4].[Si+4].[Si+4].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,-3.055986963,0.295382893,3,G5,464.138,-12.4408,47.688,23,16,0,23,0,128,0,0,0,0,345.0,141.4416007,-2.84e-08,291.9826351,
