smiles	logS
O=C(NCc1nnc2n1-c1ccccc1CC2)c1ccc2ccccc2c1	1.535800291
CCONC(=O)Cc1coc2c(C)c(C)ccc12	1.534026106
CCC(CC)NC(=O)c1ccc(C#N)c(C)n1	1.723783937
O=C(NCCc1cccc2cccnc12)C1CCCCC1	1.620136055
Cc1cc(C)c(NC(=O)c2ccnc(OC3CCC3)c2)c(C)n1	1.557867962
NCc1cccc(C(=O)N2CCCC2)c1	1.404833717
CS(=O)(=O)NCCc1ccc2c(c1)OCCO2	1.50758604
c1cnc(NCCc2cccc3cccnc23)nc1	1.567731963
Cc1cccc(OCC(=O)Nc2ccc3c(c2)C(=O)N(c2ccccc2)C3=O)c1	-0.387216143
Cc1ccc(-c2nc(CN3C(=O)C(=O)N(C4CCCC4)C3=O)cs2)cc1	-0.585026652
O=C(Nc1ccc2c(c1)OCCCO2)c1cnn(Cc2ccccc2)c1	1.217483944
NC(=O)c1ccc(Oc2ccc(C(=O)N3CCCCCC3)cc2)cc1	1.776773802
CN(Cc1ccccc1Br)C(=O)Nc1ccc(C(=O)N2CCCC2)cc1	1.841296887
O=C(Cn1c(-c2ccc(F)cc2)nc2ccccc21)N1CCOCC1	1.736953954
Cc1ccc(CCNC(=O)c2ccncc2)o1	1.466422722
O=C1CN(C(=O)c2cccc(Oc3cccc(C(F)(F)F)c3)c2)CCN1	1.591064607
Cc1ccc(C(=O)Nc2ncccc2C)s1	1.5774918
Cn1c(CNC(=O)Cc2ccccc2)nc2ccccc21	1.650987094
COc1cccc(NC(=O)CNc2cccc(-c3ccnc(C)n3)c2)c1	1.702861171
COc1cc(CN(C)C(=O)Nc2cccc(C)c2C)ccc1O	1.714497409
Cn1c(CNC(=O)Cc2cccc3ccccc23)nc2ccccc21	1.002166062
Nc1ccc(C(=O)N2CCOCC2)c(Cl)c1	1.581494542
Cc1ccc2nc(C)c(C(=O)N3CCC(C(=O)Nc4ccncc4)CC3)cc2c1	1.719828286
O=C(Nc1cccc2cnccc12)c1cccc(F)c1	1.677880582
COc1ccc(OCC(=O)N2CCN(C)CC2)cc1	1.72057272
Cn1cc(NC(=O)c2cn(Cc3ccccc3)nn2)cn1	1.368658712
O=C(COc1ccc(F)cc1F)N1CCNC1=O	1.98686127
COc1ccc(CNC(=O)c2nnn(-c3ccc(OC)cc3)c2N)cc1	1.062205809
Cc1nccc(-c2cccc(NCC(=O)NCC(=O)N3CCCC3)c2)n1	1.842297134
CCOC(=O)N1CCC(Nc2nc3ccccc3s2)CC1	1.691965103
COc1ccc(C2(NCc3cccc4ncccc34)CC2)cc1	1.744449457
O=C(Cc1csc(-c2ccc(F)c(F)c2)n1)NCC(F)(F)F	-0.443697499
CCc1ccccc1NC(=O)CCn1ccnc1-c1ccc2c(c1)OCO2	1.623662707
O=C(NCCc1ccccc1)c1cnccn1	1.771293443
Cc1ccc(C(=O)NCC#Cc2ccccc2)cn1	1.647969458
COc1ccccc1-c1nc(C(=O)O)cs1	1.737192643
Cc1cccnc1NC(=O)CCc1ccc(F)cc1	1.580468784
COc1ccccc1-c1nc(-c2ccc(NC(C)=O)cc2)c(C)s1	-0.13667714
O=C(Nc1nccs1)C1CCN(C(=O)CN2CCc3ccccc32)CC1	1.710709566
COc1ccccc1C(=O)Nc1ccc2cc[nH]c2c1	0.69019608
COc1cccc(CC(=O)Nc2ccc3nc(C)sc3c2)c1	1.718833718
Cc1ccc(CC(=O)Nc2nc(C)no2)cn1	1.631545228
COc1ccc(-c2csc(CC(N)=O)n2)cc1Br	1.574609941
COc1ccc(CNC(=O)CCCOc2ccc(C(C)=O)cc2)cc1	1.305566314
Cc1cc(C)n(-c2ccc(C(=O)NCc3cccnc3)cc2)n1	1.65724713
O=C(CCc1ccc2c(c1)OCO2)Nc1cccc2cnccc12	1.650501795
Cc1cc(C(=O)NCCc2ccccn2)c(C)s1	1.613630435
Cc1cnc(NC(=O)Cc2coc3cc(C)c(C)cc23)s1	-0.494850022
Cn1cc(CCNC(=O)N2CCCc3c(F)cccc32)cn1	1.62838893
Cn1cc(-c2nc(C(=O)Nc3cccnc3-n3cncn3)cs2)cn1	0.282168778
CC1CCN(Cc2ccc(NC(=O)c3ccccn3)cc2)CC1	1.610660163
CNC(=O)Cc1csc(-c2ccc(C)cc2)n1	0.608526034
O=C(Nc1ccccc1)c1c([O-])n(-c2ccccc2)n[n+]1Cc1ccccc1	-0.698970004
CC(=O)Nc1nc(-c2c(C)cc(C)cc2C)cs1	1.283301229
Cc1ccc(S(=O)(=O)Cc2nc(-c3ccc(C(=O)NCc4cccnc4)cc3)oc2C)cc1	-0.48148606
CC(=O)Nc1cccc(OC(=O)N2CCOCC2)c1	1.753812784
CCC(=O)NCCNC(=O)c1cc(-c2ccccc2)nc2ccccc12	1.271376872
COC(=O)c1c(C)[nH]c(C(=O)N(C)Cc2ccc(OC)c(F)c2)c1C	1.674585602
CNC(=O)Cc1nc(-c2cncc(C)c2)cs1	1.574956776
Cc1oc(C)c(C(=O)Nc2ccn(C)n2)c1C	1.564666064
Cc1cc(F)ccc1NC(=O)c1cccc2cccnc12	-0.356547324
CN(C)[C@@H]1CN(C(=O)COc2ccccc2)C[C@H]1O	1.920645001
Cc1cccc(NC(=O)c2cccc3ncccc23)c1	0.685741739
O=C(CN1CCc2ccccc21)N1CCNC1=O	1.439332694
O=C(NC1CC1)c1cccc2cccnc12	1.528788192
CCOc1nc(-c2ccc(Cl)c(Cl)c2)n(-c2cccc(NC(=O)c3ccc(F)cc3)c2)n1	-0.602059991
CSc1ncccc1C(=O)Nc1ccc(N2CCCCC2=O)cc1	0.952792443
Cc1nccc(-c2cccc(NCC(=O)N3CCCCCCC3)c2)n1	1.745387121
O=C(NCC1(c2ccc(F)cc2)CCOCC1)c1ccccn1	1.69862243
Cc1csc(NC(=O)CCc2ccncc2)n1	1.580924976
COc1nn(C)cc1C(=O)Nc1cccc(-c2cnc3n2CCC3)c1	1.559308011
Cc1csc(NC(=O)c2ccc(-c3ccncc3)cc2)n1	0.369215857
c1ccc(-n2cc(CNc3ncccn3)cn2)cc1	1.613947477
CCONC(=O)c1cnn(-c2cccc(Cl)c2)c1	1.613101517
Cc1nc(-c2ccccc2)ccc1C(=O)NC1CCCC1	1.612359948
Cc1noc(-c2ccccc2C(=O)O)n1	1.54740546
Cc1ccc(Cn2nccc2NC(=O)c2ccncc2)o1	1.525951341
CC1CCN(CCNC(=O)c2ccncc2)CC1	1.533899101
CCC(CC)NC(=O)c1ccc2ncsc2c1	1.346548559
Cc1nc(-c2ccccc2)c(C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)s1	-0.37675071
Cc1nc(C)c(CNc2cnn(-c3ccccc3)c2)s1	1.560862695
O=C(CN1CCC(c2ccccc2)CC1)N1CCNC1=O	1.690727544
Cc1cc(C(=O)Nc2ncccc2C)c2ccccc2n1	1.643156466
COc1ccc(CN(C)C(=O)Nc2ccccc2)cc1F	1.66133934
COc1ccc(CCC(=O)N2CCCNCC2)cc1	1.552668216
Cc1ccc(C(=O)Nc2cccc(C(=O)N(C)C)c2)cn1	1.656002321
O=C(Cc1csc(-c2ccccn2)n1)NC1CCCCCC1	1.05804623
Cc1ccc(-c2csc(CC(N)=O)n2)cc1C	1.55448916
Cc1nn(-c2ccccc2)c(C)c1CN	1.305995883
O=C(NCc1ccc2c(c1)OCCO2)c1sccc1C1CC1	1.493876111
Cc1cccc2sc(NC(=O)c3cccnc3)nc12	-0.283996656
Cc1cc(C(=O)O)c2ccc(F)cc2n1	1.394451681
CCOC(=O)N1CCN(C(=O)Nc2cccc3c2CCCC3)CC1	1.712902125
COC(=O)c1c(C)[nH]c(C(=O)OCC(=O)N(C)Cc2cccs2)c1C	1.608526034
Cc1ccc(CNC(=O)c2cccnc2)n1C	1.608526034
Cc1cc(C(=O)Nc2cccc3ncccc23)on1	1.656768779
O=C(NCCc1ccc2c(c1)OCCO2)c1ccc2ccccc2n1	0.985426474
CCC(CC)NC(=O)c1cc(C)nc2onc(C)c12	1.65829765
COc1ccc(CCC(=O)N2CCN(C(=O)c3cc4n(n3)CCCC4)CC2)cc1	1.921009802
Cc1ccc(CNC(=O)c2cccs2)cn1	1.718750735
COc1nn(C)cc1C(=O)Nc1cccc2cnccc12	1.607455023
COCC(=O)Nc1nc(C)c(C)s1	1.408579125
Cc1cc(C)c(NC(=O)c2cc(Cl)ccc2F)c(C)n1	1.798028793
O=C(NCCN1CCC(c2ccccc2)CC1)c1ccc2ncsc2c1	1.643650038
Cc1ccc(NC(=O)c2cccc3cccnc23)cc1	0.755874856
Cc1cccnc1NC(=O)c1csc(-c2ccccc2)n1	1.635282638
Cc1nc(CC(=O)NCc2ccccc2)cs1	1.414973348
O=C(CN1CCCc2ccc(F)cc21)N1CCNC1=O	1.654561555
O=C(c1ccc(F)cc1)N1CCN(CC(=O)N2CCCC2=O)CC1	1.976945751
Cc1cc(F)ccc1C(=O)NCc1ccc(O)c(O)c1	1.606918526
COc1cccc(-c2nc(C(=O)O)cs2)c1OC	1.576571684
N#CCc1ccc(NC(=O)C2CC2)cc1	1.485011215
Cc1cccc(C(=O)NCC#Cc2ccccc2)n1	1.472463897
Cc1nccc(-c2cccc(NCC(=O)N(C)c3ccccc3)c2)n1	1.582290683
N#Cc1cccnc1NCCc1cn2c(n1)CCCC2	1.719497017
Cc1cc(Oc2ncccn2)ccc1NC(=O)c1c(C)oc(C)c1C	1.740046724
Cc1ccccc1C(=O)Nc1nc(C)c(C)s1	1.482158695
Cc1noc2nc(-c3ccccc3F)cc(C(=O)O)c12	1.592287816
COCC(=O)Nc1cccc(-n2cccc2)c1	1.706632451
Cc1ccc(NC(=O)c2nn(-c3ccccc3)nc2C)cc1	-0.537602002
Cc1nc(Cn2ncc3ccccc3c2=O)cs1	1.653887558
O=C(NCc1ncc(-c2ccccc2)o1)C1CCCCC1	1.880298991
Cc1cc(C)n(-c2ccc(CNC(=O)C3CCC3)cn2)n1	1.598899887
CNC(=O)C1CCN(Cc2ncc(-c3ccc(F)cc3)o2)CC1	1.29666519
CCc1nc2ccccc2n1CC(=O)N1CCNC(=O)C1	1.704150517
O=C(Cc1c(F)cccc1Cl)Nc1cccc2cnccc12	0.320146286
CN(C)C(=O)c1ccc(NC(=O)c2cccc(F)c2)cc1	1.666985718
Cc1csc(NC(=O)c2cccc(C)c2C)n1	1.052693942
Cc1ccc2c(CC(=O)N(C)Cc3nnc4n3CCC4)coc2c1C	1.736715134
CN1CCCN(C(=O)NCCOc2ccc3c(c2)OCO3)CC1	1.844849801
O=C(Cc1cccc2ccccc12)NCc1nnc2n1-c1ccccc1CC2	1.669037801
NC(=O)Cc1nc(-c2ccc(Cl)cc2Cl)cs1	1.613313161
O=C(NCCc1cnn(-c2ccccc2)c1)N1CCC1	1.597695186
O=C(c1sc(N2CCOCC2)nc1-c1ccccc1)N1CCCCC1	1.766115283
O=C(Cc1ccc2c(c1)OCCO2)NC1CCCCCC1	1.624591459
O=C(CCCOc1ccccc1)N1CCCC1	1.484299839
O=C1CN(C(=O)c2ccc(F)cc2)CCN1	1.672190251
Cc1ccc(NC(=O)c2c([O-])n(-c3ccc(C)cc3)n[n+]2Cc2ccccc2)cc1	-0.677780705
Cc1sc(-c2ccccn2)nc1-c1ccc(NC(=O)C(C)C)cc1	0.149219113
CC(=O)Nc1cccc(OCC(=O)N2CCCCC2)c1	1.627160952
COC(=O)c1ccc(NC(=O)N(C)Cc2ccccc2CN2CCCC2)cc1	1.610660163
O=C(Cc1cccc2ccccc12)NCc1ccc(N2CCCC2=O)cc1	1.149834697
O=C(NCCc1ccc2c(c1)OCO2)Nc1ccncc1	1.667452953
CC(=O)c1ccc(OCCCCN2CCCC2)cc1	1.559667278
O=C(NCc1ccc(O)c(O)c1)c1ccc2ccccc2n1	1.743509765
COc1ccc(CNCc2cccc3ccccc23)cc1	1.673941999
CC(C)(C)N1CCCN(C(=O)CNc2ccc(C#N)cc2)CC1	1.698709349
Cc1nc2ccc(NC(=O)c3sc(-c4ccccn4)nc3C)cc2s1	0.113943352
Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1NC(=O)c1ccc(O)cc1	0.51851394
COc1ccc(C2(NCc3ccc(N4CCCC4=O)cc3)CC2)cc1	1.911317442
COc1ccc(C2(NCc3cnn(-c4ccccc4)c3)CCCC2)cc1	1.759063188
Cc1cc(NC(=O)c2ccc(Cl)cc2F)no1	0.84509804
O=C(NCc1cccnc1)c1cnn(-c2ccccc2)c1	1.583198774
CCC(=O)N(C)CC(=O)Nc1cccc(F)c1	1.651084089
Cc1ccc2cccc(OCC(=O)N(C)c3ccccc3)c2n1	1.740125737
O=C(NCC(F)(F)F)c1ccncc1	1.487138375
O=C(NCc1cnn(-c2ccccc2)c1)C1CCC1	1.501196242
O=C(NCCc1cn2c(n1)CCCC2)c1ccccn1	1.677606953
O=C(CC(=O)N1CCCC1)N1CCCC1	1.486572151
Cc1cc(C(=O)NCC2(c3ccccc3)CC2)on1	1.603360924
CCCC(=O)Nc1ccc(C)c2ncccc12	1.700703717
Cc1nc(C(=O)NC2CC2)ccc1C#N	1.558348509
CCc1csc(NC(=O)c2ccc3c(c2)nc(C)n3C)n1	1.599664779
CCN(C(=O)CN1CCNC(=O)C1)c1ccc(F)cc1	1.541828767
Cc1cc(C(=O)Nc2ccc(C)c(C)c2)n(-c2ccccc2)n1	0.59439255
Cc1cc(C)n2ncc(C(=O)NC3CCCCC3)c2n1	0.693726949
O=C(CCc1ccc2c(c1)OCO2)Nc1nc2c(s1)CCC2	1.062581984
CC(C)CC(=O)NCC(=O)N1CCCC1	1.788945727
Cc1c(NC(=O)c2cc(C(N)=O)nc3cc(F)ccc23)c(C(F)(F)F)nn1Cc1ccc(C#N)cc1	-0.744727495
Cc1cccc(NCCc2cn3c(n2)CCCC3)n1	1.491361694
CCCCNC(=O)c1cccc2ncccc12	1.467312063
Cc1oc(C)c(C(=O)NCC#Cc2ccccc2)c1C	1.681422156
Cc1cc(C)n(-c2ccc(CNC(=O)c3ccc4c(c3)CCO4)cn2)n1	0.586587305
c1ccc2[nH]c(C3CCNCC3)nc2c1	1.750354089
NCCn1cc(NC(=O)c2ccccc2)cn1	1.89795681
c1cnc(N2CC(c3nc4ccccc4[nH]3)C2)nc1	1.544440137
O=C(NC1CCCC1)c1cc(C2CC2)nc2ccccc12	1.269512944
Nc1nc(-c2ccccc2)c(C(=O)Nc2ccc(Cl)c(Cl)c2)s1	-0.301029996
COc1ccc(C(=O)N2CCCC2)cc1NC(C)C	1.554610285
O=C(CNc1ccc(C(=O)N2CCCC2)cc1)N1CCCCC1	1.734399743
Cn1ccc(NC(=O)c2cc(-c3ccncc3)nc3ccccc23)n1	1.498310554
O=C(CN1CCc2ccccc21)N1CCC(c2nc3ccccc3[nH]2)CC1	1.720159303
O=C(NCc1ccccn1)c1ccc(F)cc1Cl	1.593286067
COc1ccccc1C(=O)Nc1cccc(C#N)c1	1.519040039
Cc1cc(C)n(-c2cccc(NC(=O)c3ccc(F)c(F)c3)c2)n1	0.206825876
COc1ccccc1CC(=O)Nc1ncc(C)s1	0.819543936
CN(C)[C@@H]1CN(C(=O)CCn2cnc3ccccc32)C[C@H]1O	2.179264464
O=C(NCC1(c2ccccc2)CC1)c1cccnc1	1.614897216
Cn1cc(NC(=O)c2ccccc2C(F)(F)F)cn1	1.576226137
CC(=O)Nc1ccc2nc(N3CCOCC3)sc2c1	1.643945913
O=C(CSc1ccc(F)cc1)N1CCCC1	1.558468563
Cc1cccnc1NC(=O)CCn1cnc2ccccc21	1.682145076
CCCNC(=O)C1(Cc2ccccn2)CCOCC1	1.930745328
O=C(NCCc1ccc(O)c(O)c1)Nc1ccccn1	1.67660217
CCOc1ccc(-c2csc(N)n2)cc1	0.8162413
Cc1c(C(=O)NC2CCN(CC3CCCCC3)CC2)cnn1C	1.689663965
CCOC(=O)N1CCC(C(=O)Nc2cccc(C)c2)CC1	1.750354089
COc1ccc(NC(=O)c2snnc2C)c(OC)c1	0.564666064
N#Cc1cccc(CN2CCN(CCO)CC2)c1	1.46686762
CCn1cc(C2CCN(Cc3ccc(C#N)cc3)CC2)cn1	1.632963168
N#Cc1ccc(CN2CC(n3cccn3)C2)cc1	1.562768543
Cc1cccn(Cc2cccnc2)c1=O	1.672097858
O=C(NCC1=CCCN(Cc2cc(F)ccc2Cl)C1)c1ccco1	1.5774918
N#Cc1cc(F)c(N2CCN(CCO)CC2)c(F)c1	1.615739689
O=C1NC2(CCCC2)C(=O)N1Cc1ccccc1F	1.648750213
N#Cc1cccc(CN2CCC=C(CNC(=O)c3cccs3)C2)c1	1.718086295
Cc1cccn(Cc2cccc(F)c2)c1=O	1.377488383
Cc1cccn(Cc2cccc(C#N)c2)c1=O	1.489958479
O=C(O)c1ccc(CN2CC[C@H](c3nc4cc(Cl)ccc4o3)C2)cc1	1.51054501
N#CCN1CCCN(Cc2ccc(C#N)cc2)CC1	1.577261954
Cc1ccc2oc([C@H]3CCN(Cc4ccc(C#N)cc4)C3)nc2c1	0.73239376
N#Cc1cccc(CN2CCOC[C@H](O)C2)c1	1.324488233
N#Cc1ccc(OCCn2cccn2)cc1	1.600210306
Cc1ccc2oc([C@H]3CCN(Cc4cccs4)C3)nc2c1	1.419955748
N#Cc1cccc(CN2CCOC[C@H](Oc3ccccc3)C2)c1	1.723044992
O=c1c(=O)n(-c2ccc(F)c(F)c2)ccn1Cc1ccccc1Cl	-0.431798276
Cc1cccn(Cc2ccccc2F)c1=O	1.450249108
CCOc1ccc(Nc2ncccc2C#N)cc1	0.965201701
N#Cc1cccnc1Nc1cnn(Cc2ccccc2)c1	0.57054294
CCn1nccc1-c1n[nH]c(=O)n1Cc1ccccc1	1.430719888
Cc1noc(C(C)C)c1C(=O)Nc1ccccn1	1.765445018
CCc1ccc(NC(=O)C2CCN(c3ccc4nncn4n3)CC2)cc1	0.06069784
Nc1ccnn1Cc1ccc(Cl)c(F)c1	1.613524703
Cc1cc(C)cc(Oc2cc(C#N)ccn2)c1	0.98811284
CC(C)c1cc(CN(C)Cc2c[nH]nc2-c2ccc(F)cc2)no1	1.347330015
CC(C)CCN1CCn2c1nc1c2c(=O)n(C)c(=O)n1C	1.668385917
CCn1c(=O)c2c(nc3n2CCN3c2cc(C)cc(C)c2)n(C)c1=O	-0.301029996
CCCn1c(=O)c2c(nc3n2CCN3c2ccc(C)cc2)n(C)c1=O	-0.823908741
Cn1c(=O)c2c(nc3n2CCN3Cc2c(F)cccc2Cl)n(C)c1=O	0.713490543
CNc1nc(-c2cc(OC)cc(OC)c2)ncc1F	1.408748606
Fc1cncc(-c2cnc(NCc3ccc(Cl)c(F)c3)nc2)c1	0.505149978
Nc1nncc(-c2ccccc2OC(F)F)n1	1.590061231
Cc1cc(-c2nnc3ccc4ccccc4n23)n(C)n1	1.23299611
Cc1c(Cl)ccc2cc3n(c12)[C@@H](C)CNC3=O	1.522444234
C[C@@H](c1ccc(F)cc1)n1nnc2cnc3ccc(-c4ccc5ocnc5c4)cc3c21	-0.327902142
O=C1CC[C@H](O)[C@@H](c2cccc(Cl)c2)N1Cc1ccccc1	2.07371835
CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12	1.247359422
Cc1sc2nc(CN3CCC(C)CC3)nc(N3CCN(c4cnccn4)CC3)c2c1C	1.623145875
Cc1sc2nc(CN3CCCC3)nc(N)c2c1C	1.649821463
CN(C)c1nc(CN2CCOCC2)nc2scc(-c3cccs3)c12	1.757927183
Cc1sc2nc(CN3CCOCC3)nc(N3CCN(c4ccncc4)CC3)c2c1C	1.884058647
CCCCCCCC/C(=C\CCCCCCCC(=O)O)[N+](=O)[O-]	1.103803721
CCN(CC)Cc1cccc(/C=C/c2nc3ccc(F)cc3c(=O)n2-c2ccccc2Cl)n1	1.829368108
N#Cc1cnn(-c2nc(-c3ccc(Br)s3)cs2)c1N	0.278753601
N#Cc1cnn(-c2ccc(F)cc2)c1N	1.46478752
Fc1ccc(NCc2cccc(OCCN3CCOCC3)c2)nc1	1.598024072
CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1	1.713826424
Cc1sc(NC(=O)CN2CCOC(C3CCCO3)C2)c(C)c1C	1.784617293
CCOc1ccc(C(=O)Cn2c(=O)n(-c3ccc(F)cc3)c3nc(C)nc(C(N)=O)c32)cc1	-0.408935393
COc1ccc(C(=O)Cn2c(=O)n(-c3ccccc3F)c3nc(C)nc(C(N)=O)c32)cc1	0.567026366
CCOC(=O)c1cc2ccccc2n1CC(=O)c1ccc(F)cc1	0.816903839
c1ccc(Cc2cccc3cc4c(nc23)OCCNC4)cc1	1.679609572
Cn1ccnc1CN(C(=O)c1[nH]c2ccccc2c1Cl)C1CC1	1.794348604
Cc1cc(OCc2ncc(C(C)(C)C)o2)nn1C	1.266936911
Cc1nnc(-c2cccc(C(=O)O)c2)o1	1.536432176
Cc1c[nH]c(=O)n1-c1ccc(C(=O)Nc2ccc3ccccc3n2)cc1	0.770852012
COc1ccc(-c2nnc(NC(=O)c3ccc4ccccc4c3)o2)cc1OC	-0.568636236
O=C(Nc1ccc2ccccc2n1)c1ccc(N2CCOC2=O)cc1	0.45484486
Cc1cc(C)c2c(c1)CCCN2C(=O)c1ccc(-c2nnc(C)o2)cc1	1.717670503
Cc1cccc(NC(=O)c2cccnc2N2CCCCC2)n1	1.4407517
Cc1cccc(NC(=O)c2ccc3ccccc3c2)n1	0.068185862
COc1ccc(-c2nnc(-c3ccccc3)o2)cc1OC	0.63748973
COc1ncccc1NC(=O)c1cccc(C)n1	1.378034322
COc1ccc(-c2cnn3c(N)c(-c4ccccc4)cnc23)cc1OC	-0.721246399
CNC(=O)c1ccc(-c2nnc(-c3cccc(C)c3)o2)cc1	-0.677780705
CSc1cccc(-c2ccccc2-c2nnc(C)o2)c1	1.618466492
O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1	1.095518042
CN(Cc1ccc(-c2ccc(Br)cc2)o1)C(=O)c1cnn(C)c1	0.742725131
Nc1nc(-c2ccccc2)nc2nc(C3CCCN(CC(=O)N4CCCC4)C3)ccc12	1.836165816
CCCC(=O)N1CCC(c2cccc(C)n2)CC1	1.604226053
CC(=O)N1CCC(c2ccc(C(=O)O)cn2)CC1	1.704150517
O=C(CN1CCCC(c2nc3ccccc3o2)C1)Nc1ccc(OC(F)(F)F)cc1	0.835690571
COc1ccc2c(c1)C=C(CN1CCC(c3cc(-c4ccc(N)nc4)cc(C)n3)CC1)CO2	1.360025089
O=C(c1ccncc1)N1CCC(c2cnccn2)CC1	1.786467477
CN(C)c1cccc(C(=O)N2CCCC(c3cccc(-c4cccs4)n3)C2)c1	0.322219295
COc1ccc(Cc2cccc(C3CCN(C(=O)C4CCCC4)CC3)n2)cc1	1.412124406
O=C(c1cc(-c2cccc(Cl)c2)on1)N1CCC(n2cccc2)CC1	1.019946682
COc1cccc(N(C)CCC(=O)N2CCC(c3ccc(-c4ccc(N)nc4)cn3)CC2)c1	1.672282625
Cn1ccc(CN2CCC(c3cnccn3)CC2)n1	1.698970004
CC(=O)N1CCC(c2ccccn2)CC1	1.684126926
COc1ccc(NC(=O)CN2CCC(c3cc(-c4cnc(N)nc4)cc(C)n3)CC2)cc1	1.628286731
Cn1ccc(C(=O)N2CCCC(c3cccc(-c4cccc(Cl)c4)n3)C2)n1	1.426511261
CC(C(=O)Nc1ccc(C(N)=O)cc1)N1CCCC(c2nc3ccccc3o2)C1	1.751663946
